place	type	shape	syllables	CVC	size	citation	possessive	back	high	round
COR	voiceless	CVCCVCC	poly	big	CVCVC	tylbent	tylbentim	0	0	0
COR	voiceless	CVCCVCC	poly	big	CVCVC	fihrist	fihristim	0	1	0
COR	voiceless	CVCCVCC	poly	big	CVCVC	langɯrt	langɯrtɯm	1	1	0
COR	voiceless	CVCCVCC	poly	big	CVCVC	zerdyʃt	zerdyʃtym	0	1	1
COR	voiceless	CVCCVCCVC	poly	big	CVCVC	feldispat	feldispatɯm	1	0	0
COR	voiceless	CVCCVCCVC	poly	big	CVCVC	hoʃsohbet	hoʃsohbetim	0	0	0
COR	voiceless	CVCCVCCVC	poly	big	CVCVC	kastanjet	kastanjetim	0	0	0
COR	alternating	CVCCVCCVCC	poly	big	CVCVC	hinterlant	hinterlandɯm	1	0	0
COR	voiceless	CVCCVCCVCVC	poly	big	CVCVC	tentyrdijot	tentyrdijotum	1	0	1
COR	voiceless	CVCCVCCVCVVC	poly	big	CVCVC	ʤymbyrʤemaat	ʤymbyrʤemaatim	1	0	0
COR	alternating	CVCCVCVC	poly	big	CVCVC	bermutat	bermuta:dɯm	1	0	0
COR	alternating	CVCCVCVC	poly	big	CVCVC	marmelat	marmeladɯm	1	0	0
COR	alternating	CVCCVCVC	poly	big	CVCVC	mynferit	mynferidim	0	1	0
COR	alternating	CVCCVCVC	poly	big	CVCVC	mystenit	mystenidim	0	1	0
COR	alternating	CVCCVCVC	poly	big	CVCVC	myttehit	myttehidim	0	1	0
COR	alternating	CVCCVCVC	poly	big	CVCVC	muktesit	muktesidim	0	1	0
COR	alternating	CVCCVCVC	poly	big	CVCVC	jekvyʤut	jekvyʤudum	1	1	1
