C1	C2	O	C1prob	C2prob	E
f	HH	10	0.04431563201196709	0.03347045624532535	7.932498130142108
m	HH	14	0.0512341062079282	0.03347045624532535	9.170905011219146
t	HH	4	0.01907255048616305	0.03347045624532535	3.413986537023186
d	HH	10	0.03702318623784592	0.03347045624532535	6.62715033657442
TT	HH	6	0.02617801047120419	0.03347045624532535	4.68586387434555
DD	HH	6	0.015893792071802543	0.03347045624532535	2.844988780852655
th	HH	0	0.010284218399401645	0.03347045624532535	1.8408750934928944
dh	HH	0	0.013462976813762155	0.03347045624532535	2.4098728496634254
s	HH	10	0.043006731488406884	0.03347045624532535	7.698204936424832
z	HH	8	0.028234854151084517	0.03347045624532535	5.054038893044128
SS	HH	6	0.02580403889304413	0.03347045624532535	4.618922961854899
ZZ	HH	0	0.004113687359760658	0.03347045624532535	0.7363500373971578
sh	HH	10	0.037397157816005985	0.03347045624532535	6.69409124906507
k	HH	2	0.032535527299925204	0.03347045624532535	5.823859386686611
g	HH	7	0.036088257292445775	0.03347045624532535	6.459798055347793
q	HH	8	0.04281974569932685	0.03347045624532535	7.664734480179506
XX	HH	0	0.02973074046372476	0.03347045624532535	5.321802543006731
RR	HH	0	0.02225130890052356	0.03347045624532535	3.982984293193717
HH	HH	0	0.04094988780852655	0.03347045624532535	7.330029917726252
GG	HH	0	0.043006731488406884	0.03347045624532535	7.698204936424832
h	HH	0	0.036275243081525806	0.03347045624532535	6.493268511593119
ʔ	HH	2	0.02243829468960359	0.03347045624532535	4.016454749439042
l	HH	17	0.05048616305160808	0.03347045624532535	9.037023186237846
r	HH	13	0.07479431563201197	0.03347045624532535	13.38818249813014
n	HH	12	0.0605833956619297	0.03347045624532535	10.844427823485416
w	HH	15	0.0712415856394914	0.03347045624532535	12.752243829468961
y	HH	8	0.028982797307404638	0.03347045624532535	5.187920718025429
b	GG	12	0.05179506357516829	0.043006731488406884	11.912864622288707
f	GG	11	0.04431563201196709	0.043006731488406884	10.192595362752431
m	GG	19	0.0512341062079282	0.043006731488406884	11.783844427823487
t	GG	5	0.01907255048616305	0.043006731488406884	4.3866866118175025
d	GG	13	0.03702318623784592	0.043006731488406884	8.515332834704564
TT	GG	7	0.02617801047120419	0.043006731488406884	6.020942408376963
DD	GG	5	0.015893792071802543	0.043006731488406884	3.655572176514585
th	GG	0	0.010284218399401645	0.043006731488406884	2.3653702318623786
dh	GG	5	0.013462976813762155	0.043006731488406884	3.0964846671652957
s	GG	9	0.043006731488406884	0.043006731488406884	9.891548242333583
z	GG	13	0.028234854151084517	0.043006731488406884	6.494016454749439
SS	GG	6	0.02580403889304413	0.043006731488406884	5.93492894540015
ZZ	GG	2	0.004113687359760658	0.043006731488406884	0.9461480927449515
sh	GG	11	0.037397157816005985	0.043006731488406884	8.601346297681378
k	GG	5	0.032535527299925204	0.043006731488406884	7.483171278982797
g	GG	12	0.036088257292445775	0.043006731488406884	8.300299177262529
q	GG	13	0.04281974569932685	0.043006731488406884	9.848541510845177
XX	GG	1	0.02973074046372476	0.043006731488406884	6.838070306656695
RR	GG	0	0.02225130890052356	0.043006731488406884	5.117801047120419
HH	GG	0	0.04094988780852655	0.043006731488406884	9.418474195961107
GG	GG	0	0.043006731488406884	0.043006731488406884	9.891548242333583
h	GG	0	0.036275243081525806	0.043006731488406884	8.343305908750937
ʔ	GG	0	0.02243829468960359	0.043006731488406884	5.1608077786088264
l	GG	17	0.05048616305160808	0.043006731488406884	11.611817501869858
r	GG	26	0.07479431563201197	0.043006731488406884	17.202692595362755
n	GG	16	0.0605833956619297	0.043006731488406884	13.934181002243832
w	GG	16	0.0712415856394914	0.043006731488406884	16.385564697083023
y	GG	6	0.028982797307404638	0.043006731488406884	6.6660433807030675
b	h	14	0.05179506357516829	0.026738967838444278	7.406694091249065
f	h	5	0.04431563201196709	0.026738967838444278	6.337135377711293
m	h	6	0.0512341062079282	0.026738967838444278	7.326477187733732
t	h	1	0.01907255048616305	0.026738967838444278	2.7273747195213165
d	h	9	0.03702318623784592	0.026738967838444278	5.294315632011966
TT	h	4	0.02617801047120419	0.026738967838444278	3.743455497382199
DD	h	2	0.015893792071802543	0.026738967838444278	2.2728122662677634
th	h	0	0.010284218399401645	0.026738967838444278	1.4706432311144353
dh	h	2	0.013462976813762155	0.026738967838444278	1.925205684367988
s	h	7	0.043006731488406884	0.026738967838444278	6.1499626028421845
z	h	6	0.028234854151084517	0.026738967838444278	4.037584143605086
SS	h	4	0.02580403889304413	0.026738967838444278	3.6899775617053105
ZZ	h	1	0.004113687359760658	0.026738967838444278	0.5882572924457742
sh	h	5	0.037397157816005985	0.026738967838444278	5.347793567688856
k	h	5	0.032535527299925204	0.026738967838444278	4.652580403889305
g	h	8	0.036088257292445775	0.026738967838444278	5.160620792819746
q	h	4	0.04281974569932685	0.026738967838444278	6.123223635003741
XX	h	0	0.02973074046372476	0.026738967838444278	4.25149588631264
RR	h	0	0.02225130890052356	0.026738967838444278	3.1819371727748686
HH	h	0	0.04094988780852655	0.026738967838444278	5.855833956619297
GG	h	2	0.043006731488406884	0.026738967838444278	6.1499626028421845
h	h	0	0.036275243081525806	0.026738967838444278	5.1873597606581905
ʔ	h	2	0.02243829468960359	0.026738967838444278	3.2086761406133135
l	h	15	0.05048616305160808	0.026738967838444278	7.219521316379955
r	h	11	0.07479431563201197	0.026738967838444278	10.695587135377712
n	h	15	0.0605833956619297	0.026738967838444278	8.663425579655947
w	h	14	0.0712415856394914	0.026738967838444278	10.187546746447271
y	h	1	0.028982797307404638	0.026738967838444278	4.144540014958863
b	ʔ	9	0.05179506357516829	0.020381451009723262	5.645661929693344
f	ʔ	5	0.04431563201196709	0.020381451009723262	4.830403889304413
m	ʔ	6	0.0512341062079282	0.020381451009723262	5.584517576664173
t	ʔ	2	0.01907255048616305	0.020381451009723262	2.078908002991773
d	ʔ	4	0.03702318623784592	0.020381451009723262	4.0355272999252065
TT	ʔ	3	0.02617801047120419	0.020381451009723262	2.8534031413612566
DD	ʔ	2	0.015893792071802543	0.020381451009723262	1.7324233358264773
th	ʔ	4	0.010284218399401645	0.020381451009723262	1.1209798055347795
dh	ʔ	3	0.013462976813762155	0.020381451009723262	1.467464472700075
s	ʔ	6	0.043006731488406884	0.020381451009723262	4.687733732236351
z	ʔ	5	0.028234854151084517	0.020381451009723262	3.0775991024682123
SS	ʔ	1	0.02580403889304413	0.020381451009723262	2.81264023934181
ZZ	ʔ	0	0.004113687359760658	0.020381451009723262	0.4483919222139118
sh	ʔ	4	0.037397157816005985	0.020381451009723262	4.076290201944653
k	ʔ	5	0.032535527299925204	0.020381451009723262	3.546372475691847
g	ʔ	6	0.036088257292445775	0.020381451009723262	3.93362004487659
q	ʔ	2	0.04281974569932685	0.020381451009723262	4.667352281226628
XX	ʔ	0	0.02973074046372476	0.020381451009723262	3.240650710545999
RR	ʔ	0	0.02225130890052356	0.020381451009723262	2.425392670157068
HH	ʔ	0	0.04094988780852655	0.020381451009723262	4.463537771129395
GG	ʔ	0	0.043006731488406884	0.020381451009723262	4.687733732236351
h	ʔ	0	0.036275243081525806	0.020381451009723262	3.9540014958863132
ʔ	ʔ	0	0.02243829468960359	0.020381451009723262	2.4457741211667914
l	ʔ	5	0.05048616305160808	0.020381451009723262	5.502991772625281
r	ʔ	14	0.07479431563201197	0.020381451009723262	8.152580403889306
n	ʔ	8	0.0605833956619297	0.020381451009723262	6.603590127150338
w	ʔ	8	0.0712415856394914	0.020381451009723262	7.765332834704563
y	ʔ	7	0.028982797307404638	0.020381451009723262	3.1591249065071056
b	l	24	0.05179506357516829	0.06824981301421092	18.905198204936426
f	l	19	0.04431563201196709	0.06824981301421092	16.175205684367988
m	l	27	0.0512341062079282	0.06824981301421092	18.70044876589379
t	l	11	0.01907255048616305	0.06824981301421092	6.961480927449514
d	l	16	0.03702318623784592	0.06824981301421092	13.513462976813763
TT	l	15	0.02617801047120419	0.06824981301421092	9.554973821989527
DD	l	5	0.015893792071802543	0.06824981301421092	5.801234106207929
th	l	6	0.010284218399401645	0.06824981301421092	3.7537397157816
dh	l	7	0.013462976813762155	0.06824981301421092	4.913986537023186
s	l	21	0.043006731488406884	0.06824981301421092	15.697456993268512
z	l	11	0.028234854151084517	0.06824981301421092	10.305721765145847
SS	l	17	0.02580403889304413	0.06824981301421092	9.418474195961107
ZZ	l	3	0.004113687359760658	0.06824981301421092	1.5014958863126402
sh	l	6	0.037397157816005985	0.06824981301421092	13.649962602842185
k	l	14	0.032535527299925204	0.06824981301421092	11.875467464472697
g	l	21	0.036088257292445775	0.06824981301421092	13.172213911742706
q	l	17	0.04281974569932685	0.06824981301421092	15.6292071802543
XX	l	13	0.02973074046372476	0.06824981301421092	10.851720269259536
RR	l	12	0.02225130890052356	0.06824981301421092	8.121727748691098
HH	l	17	0.04094988780852655	0.06824981301421092	14.946709050112188
GG	l	15	0.043006731488406884	0.06824981301421092	15.697456993268512
h	l	16	0.036275243081525806	0.06824981301421092	13.24046372475692
ʔ	l	10	0.02243829468960359	0.06824981301421092	8.18997756170531
l	l	0	0.05048616305160808	0.06824981301421092	18.427449513836947
r	l	0	0.07479431563201197	0.06824981301421092	27.29992520568437
n	l	0	0.0605833956619297	0.06824981301421092	22.112939416604338
w	l	28	0.0712415856394914	0.06824981301421092	26.003178758414357
y	l	14	0.028982797307404638	0.06824981301421092	10.578721017202692
b	r	31	0.05179506357516829	0.09293193717277487	25.742146596858642
